market_id,market_title,slug,event_slug,category,submarket,outcome,outcome_index,total_bought_usdc,avg_entry_price,resolved_price,realized_pnl_usdc,win
0x1108c7a72f52b6d46c69120efc4ac96ff4eb089e614752806afd3f0b6f1cfeb2,Spread: RB Leipzig (-1.5),bun-pau-lei-2026-01-10-spread-away-1pt5,bun-pau-lei-2026-01-10-more-markets,Soccer,Bundesliga,FC St. Pauli 1910,1,25525.0,0.739612,1.0,6646.4037,True
0x530b404158e50ad4d3b6dc223070c5dcc2210b457f7e04d7eeb5ad0608c39553,Will Club Atlético de Madrid win on 2026-03-03?,cdr-fcb-atm-2026-03-03-atm,cdr-fcb-atm-2026-03-03,Other,Other,No,1,41244.159375,0.84,1.0,6599.065488,True
0xa176bed953947a8477f66861856956632dcdf247f54a4c0e639cb195c9e88ce3,Will the Eagles score 31 or more points in Super Bowl LIX?,will-the-eagles-score-31-or-more-points-in-super-bowl-lix,super-bowl-lix-eagles-team-totals,Other,Other,Over,0,11155.0,0.26,1.0,5292.791465,True
0xce97653d5d3ff86ea94656f127cfbf2ea1bab6a8cafca55f605c6516eeaf3b0d,Will the New England Patriots be eliminated in the Super Bowl?,will-the-new-england-patriots-be-eliminated-in-the-super-bowl,new-england-patriots-stage-of-elimination-20252026,Other,Other,Yes,0,30275.91,0.802908,1.0,5252.616113000001,True
0x6d5db80670bd55e49ac20c3e0adc894ac8b2a6a4197bd992b2914b76374c6658,Hornets vs. Mavericks,nba-cha-dal-2026-01-29,nba-cha-dal-2026-01-29,NBA,NBA,Hornets,0,11507.864175,0.570401,1.0,4445.962955,True
0x7135028de581183f12054290cdf74e18af7823427242b34ec1ae8e6fb9996d42,Will FC St. Pauli 1910 vs. RB Leipzig end in a draw?,bun-pau-lei-2026-01-10-draw,bun-pau-lei-2026-01-10,Soccer,Bundesliga,Yes,0,5848.71,0.28,1.0,4211.0712,True
0x665feff4bc8b458ecc8a7acb0eae4e814ebf04e424c825528bf18800906cb828,Will the Seattle Seahawks win the Super Bowl?,will-the-seattle-seahawks-win-the-super-bowl,seattle-seahawks-stage-of-elimination-20252026,Other,Other,Yes,0,19445.61,0.821998,1.0,3461.357471,True
0xc0b3638a969d1b4a2c2c8b9ff3dda8765f5e0dfb1f1669d3223a7d0764ba1808,Patriots vs. Broncos: O/U 42.5,nfl-ne-den-2026-01-25-total-42pt5,nfl-ne-den-2026-01-25,NFL,NFL,Under,1,6578.909212,0.48,1.0,3421.03279,True
0x399b3e538eae06db62ba0e166cf3772276dabf75862c938119d17d59684c7e40,Will the Eagles win Super Bowl 2025?,will-the-eagles-win-super-bowl-2025,superbowl-champion-2025,Other,Super Bowl,Yes,0,49903.44,0.92651,1.0,3109.274009,True
0x93488e6d39987a0f3858d57ac8671dd4ec285f32a54758abcc44f3a724428eb0,Will Real Oviedo win on 2026-02-28?,lal-ovi-mad-2026-02-28-ovi,lal-ovi-mad-2026-02-28,Soccer,La Liga,No,1,16270.383677,0.81,1.0,3091.372884,True
0x6c083cd07a112238fd27a42e619e92283d4313edb43661613b91c0ac7999a11f,Nasdaq 100 (NDX) Up or Down on March 6?,ndx-up-or-down-on-march-6-2026,ndx-up-or-down-on-march-6-2026,Other,Other,Down,1,11183.17,0.48,1.0,3022.2107,True
0xb84c0233a2e218bbbfd75d97f40bc77127d41bc46c99ecf198d39b653922ec93,Will Bitcoin reach $200K in September?,will-bitcoin-reach-200k-in-september,what-price-will-bitcoin-hit-in-september,Crypto,Crypto,No,1,330920.0,0.993,1.0,2316.44,True
0x96e63675f41270f12680d1c0931b48fce8c13c4077054408b25d3adb3e25b1f3,Spread: TSG 1899 Hoffenheim (-1.5),bun-wer-hof-2026-01-10-spread-away-1pt5,bun-wer-hof-2026-01-10-more-markets,Soccer,Bundesliga,TSG 1899 Hoffenheim,0,9780.71,0.28,1.0,2151.75625,True
0x3bc2babca97c5b0cfd468d4c7afcca65a0afa66e2e7640f73b36b27b57a99370,"""It's Scripted"" KC Comeback Parlay",its-scripted-kc-comeback-parlay-super-bowl-lix,its-scripted-kc-comeback-parlay-super-bowl-lix,Other,Other,No,1,8990.822145,0.789207,1.0,1895.202372,True
0x91f409f6f7a67b61afbb494cd6a98df4222068f62e0ae1f48e68649c28cd6514,Flames vs. Wild,nhl-cal-min-2026-01-29,nhl-cal-min-2026-01-29,NHL,NHL,Wild,1,5119.894733,0.6199999999999999,1.0,1877.256609,True
0x5e5c9dfaf695371a0cc321b47b35f66a6dbd1482f0503526603d2bd2a91bfdc7,"Will Bitcoin reach $150,000 in February?",will-bitcoin-reach-150k-in-february-2026,what-price-will-bitcoin-hit-in-february-2026,Crypto,Crypto,No,1,1463942.61,0.998863,1.0,1664.502747,True
0xe59b76327e1738fa8f70d1cf718de431ea5b6cbb5b5bc1a0fc7ed2fe3a35d23f,Big Game - Winning Conference,super-bowl-winning-conference,super-bowl-winning-conference,Other,Other,AFC,0,10145.290000000003,0.340009,0.0,1623.155092,True
0x8797607ccb187af3b4370f7bba8071c1ece84c16f3494263dd00acca8a42c76e,Pacers vs. Pistons,nba-ind-det-2026-01-17,nba-ind-det-2026-01-17,NBA,NBA,Pistons,1,11930.546624,0.875614,1.0,1483.992972,True
0x6a4a6693a94d455429fce77acebf65cd668330c434b3b63bc70ad3ea1cad8cc5,BNP Paribas Open: Dalibor Svrcina vs Jannik Sinner,atp-svrcina-sinner-2026-03-06,atp-svrcina-sinner-2026-03-06,Other,Other,Dalibor Svrcina,0,3000.0,0.015,0.0,1455.0,True
0x2990310f2f24e43c3276902ee9a488cb1dec5958e7388e4de7db944f90dd9495,Will New England beat Seattle in Super Bowl LX?,will-new-england-beat-seattle-in-super-bowl-lx,super-bowl-lx-exact-outcome,Other,Other,No,1,12763.93,0.8497959999999999,1.0,1384.81392,True
0x0d2b2dbef0efeeb942f4de41dabe268552a07426b8fc19a8b85d602f6af5653d,Super Bowl LIX Winner,nfl-kc-phi-2025-02-09,nfl-kc-phi-2025-02-09,NFL,NFL,Eagles,1,450546.279997,0.997413,1.0,1165.563226,True
0x5cba5eaaffc4ddf13501505229b9d65d7bd03aecdc3f1c834e153f5b24c44e60,Will Seattle beat New England in Super Bowl LX?,will-seattle-beat-new-england-in-super-bowl-lx,super-bowl-lx-exact-outcome,Other,Other,Yes,0,11785.42875,0.901222,1.0,1164.141076,True
0x40808d691266db996644c54644cf135df7043cab6b410f6065761a03544da2c7,Will the Seattle Seahawks be eliminated in the Super Bowl?,will-the-seattle-seahawks-be-eliminated-in-the-super-bowl,seattle-seahawks-stage-of-elimination-20252026,Other,Other,No,1,11619.835,0.901522,1.0,1144.298101,True
0x61a130ceb171c4d644eafd439f23a73a3361751797092ab945c6a13728e54eb5,Will Philadelphia Union win on 2026-03-07?,mls-phi-sje-2026-03-07-phi,mls-phi-sje-2026-03-07,Other,Other,Yes,0,92592.5,0.46,0.0,925.924942,True
0x55046f402e1bd7f523ea9ced987e0a76fe1cb4b6b83a23059a3fb57ad40dc59f,Will the Eagles win Super Bowl LIX by 16-18 points?,will-the-eagles-win-super-bowl-lix-by-16-18-points,super-bowl-lix-margin-of-victory,Other,Other,Yes,0,983.86,0.065024,1.0,919.885487,True
0x0dce8810cfe47e4273c00530a508364393cc4252636bbfa77244e2aab807e8bc,Will the Colorado Rockies win the 2025 World Series?,will-the-colorado-rockies-win-the-2025-world-series,world-series-champion-2025,Other,Other,No,1,906120.28,0.999,1.0,906.12028,True
0x300603cf45c00af47424fffe1a012708d7c8d5f9830c0365c3bbc2f5924cc67d,Will West Ham win the 2025–26 English Premier League?,will-west-ham-win-the-202526-english-premier-league,english-premier-league-winner,Other,Other,No,1,901795.3,0.999,1.0,901.7953,True
